text,created_at,author/followers_count,author/screen_name
Ignore Sulus. MT @BarackObama @JohnTheCho on crazy stuff that goes down when young and reckless: http://t.co/Jb2LeSpwQP #GetCoveredNow #TBT,1395337499,2246,AnthonyBialy
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395336853,64,DaSmashTwil
"Hmmm. MT @sportswatch: Most popular Final Four picks among ESPN's 11+ mil brackets: Zona, FLA, Mich St, L'ville. Same as @BarackObama.",1395335944,148,Jacob__Doyle
!!! --&gt; MT @BarackObama: @JohnTheCho on the crazy stuff that goes down when you're young: http://t.co/Tgl2I8HDuw #GetCoveredNow #TBT,1395335912,273,caroweiss
"Umm, OK MT @BarackObama: @JohnTheCho on the crazy stuff that goes down when you're young and reckless http://t.co/bc2Uc0tgnr #GetCoveredNow",1395335909,25612,JarettSays
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395335433,2779,jfuncannon
Impressive! MT @PamWCVB: Worcester Tech prin Dr Sheila Harrity kept @BarackObama visit secret for a week &amp; half. He's commencement spkr.,1395334458,7675,seaportboston
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395334310,476,gabrieliosa
RT @jtuckermartin: Found my weak spot MT @MarkWarnerVa Bipartisan consensus @BarackObama has @UVAMensHoops out too early @jtuckermartin htt…,1395334200,727,A_Tall_Turner
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395334048,64,LUMENATI
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395333290,247,madbell
